Art.code;Omschrijving;Brutoprijs;Korting;Nettoprijs;Per;Eenheid;Groepcode;Art.Fab.;Fabrikant;Type rooster;Breedte
303044;HENDEL EN HOEKOMLEGGING HAUTAU EV1  COMPLEET (DOOS 3) SLAG 58MM;43.56;;26.14;1;st;1151;169553;MACO;;
303045;AFDEKPROFIEL HAUTAU EV1  2000MM;19.60;;11.76;1;st;1151;168869;MACO;;
303046;AFDEKPROFIEL HAUTAU EV1  3000MM;28.17;;16.90;1;st;1151;168839;MACO;;
303047;DRIJFSTANG HAUTAU GEGALVANISEERD  8MM 1000MM;6.32;;3.79;1;st;1151;108041;MACO;;
303048;DRIJFSTANG HAUTAU GEGALVANISEERD  8MM 2000MM;10.79;;6.47;1;st;1151;108044;MACO;;
303049;DRIJFSTANG HAUTAU GEGALVANISEERD  8MM 3000MM;15.25;;9.15;1;st;1151;108050;MACO;;
303054;RAAMBOK HAUTAU PRIMAT-A RVS  TERUGLIGGING 0-25MM KLEPRAAM;21.15;;12.69;1;st;1151;108194;MACO;;
303055;RAAMBOK HAUTAU PRIMAT-A RVS  TERUGLIGGING 26-50MM KLEPRAAM;23.72;;14.23;1;st;1151;108197;MACO;;
303056;RAAMBOK HAUTAU PRIMAT-A RVS  TERUGLIGGING 51-75MM KLEPRAAM;26.09;;15.65;1;st;1151;108200;MACO;;
303057;RAAMBOK HAUTAU PRIMAT-FL190 EV1  TERUGLIGGING 0-12MM TERUGLIGGEND VALRAAM;21.80;;13.08;1;st;1151;176160;MACO;;
303058;RAAMBOK HAUTAU PRIMAT-FL190 EV1  TERUGLIGGING 0-25MM VALRAAM STOMP-OPDEK;934.00;;560.00;100;st;1151;321572;MACO;;
303059;KOPPELBUS HAUTAU 8/8MM  TBV DRIJFSTANG;7.21;;4.33;1;st;1151;107171;MACO;;
303061;FLEXIBELE STANG HAUTAU EV1  1000MM;127.20;;76.32;1;st;1151;175362;MACO;;
303062;EXTRA TOEBEHOREN HAUTAU  TBV FLEXIBELE STANG;47.17;;28.30;1;st;1151;108308;MACO;;
303063;VERPAKKING OVERBRENGING HAUTAU LOS EV1  <Ø45MM TBV AFNEEMBARE SLINGERSTANG;70.79;;42.47;1;st;1151;321605;MACO;;
303064;VEERKLEM HAUTAU  TBV SLINGERSTANG;5.71;;3.43;1;st;1151;126533;MACO;;
303065;BOORMAL HAUTAU PRIMAT-FL190  TBV VALRAAMBESLAG;74.78;;44.87;1;st;1151;172864;MACO;;
303067;SLIPKOPPELING HAUTAU  TBV SLINGERSTANG;46.85;;28.11;1;st;1151;108728;MACO;;
303068;SPINDEL OP KONSOLE HAUTAU EV1  (DOOS 6);230.05;;138.03;1;st;1151;239876;MACO;;
303069;KNIKARM HAUTAU EV1  TBV SLINGERSTANG;41.70;;25.02;1;st;1151;125372;MACO;;
303070;SPINDEL HAUTAU  STANDAARD SPINDEL 200A;64.44;;38.66;1;st;1151;172065;MACO;;
303072;GELEIDEBLOK HAUTAU  TBV DRIJFSTANG;0.82;;0.49;1;st;1151;176337;MACO;;
303073;BUIGZAME HOEKOMLEGGING HAUTAU EV1  INCL. GELEIDEBLOKKEN EN HOEKKAP;39.69;;23.81;1;st;1151;321587;MACO;;
303078;KOPPELINGSTRECHTER HAUTAU ;25.29;;15.17;1;st;1151;108359;MACO;;
303079;SPANSTIFT HAUTAU 4X13MM  TBV KOPPELBUIS;0.70;;0.42;1;st;1151;130391;MACO;;
303082;BOORMAL HAUTAU KOPPELBUIS  TBV POSITIONERING SPANSTIFTEN;80.47;;48.28;1;st;1151;156737;MACO;;
303084;PKVW SET HAUTAU PRIMAT-A EV1  TERUGLIGGING 26-50MM;45.04;;27.02;1;st;1151;151822;MACO;;
303085;PKVW SET HAUTAU PRIMAT-A EV1  TERUGLIGGING 51-75MM;45.04;;27.02;1;st;1151;151825;MACO;;
303086;PKVW SET HAUTAU PRIMAT-A EV1  TERUGLIGGING 0-25MM;45.04;;27.02;1;st;1151;151819;MACO;;
303087;HAUTAU VAST SPINDEL 200A + HOEKOMLEGGING  EV1 (DOOS 4A);94.09;;56.45;1;st;1151;321559;MACO;;
303088;HAUTAU LOS SPINDEL 201E LINKS  EV1 (DOOS 4B);102.97;;61.78;1;st;1151;321602;MACO;;
303089;HAUTAU LOS SPINDEL 201E RECHTS  EV1 (DOOS 4B);102.97;;61.78;1;st;1151;321603;MACO;;
303090;HAUTAU VAST SPINDEL 201E LINKS  EV1 (DOOS 4C);74.25;;44.55;1;st;1151;321596;MACO;;
303091;HAUTAU VAST SPINDEL 201E RECHTS  EV1 (DOOS 4C) PRIMAT-A EN FL-190;74.25;;44.55;1;st;1151;321595;MACO;;
303093;MEENEEMSET HAUTAU PKVW EV1  VALRAAM PRIMAT-FL190;36.76;;22.06;1;st;1151;321578;MACO;;
303103;BEDIENINGSHENDEL HAUTAU EV1  SLAG 58MM PRIMAT A / FL190;25.75;;15.45;1;st;1151;171035;MACO;;
303104;SLUITKAST ZAMAC VLAK  65X12MM;2.82;;1.41;1;st;1143;0000900677;AMI;;
303105;SLUITKAST AMI ZAMAC BINNENDRAAIEND  70X22X20MM INSTELBAAR;14.50;;7.25;1;st;1143;0000900678;AMI;;
303108;SLUITKAST ZAMAC VLAK  65X25MM;2.08;;1.04;1;st;1143;303108;BURGHOUWT;;
303109;SLUITKAST AMI ZAMAC MET VERZET  11X5MM 70X25MM;5.14;;2.57;1;st;1143;0000900676;AMI;;
303160;MONTAGEHULP AXA QUICK WINDOWFIX  2009-02-96/KT TBV RAAMUITZETTER;4.53;;2.26;1;st;1152;2009-02-96/KT;AXA;;
303170;BOVENRAAMSLUITING AXA REMOTE SKG**  KLEPRAAM WIT INCL. AFSTANDBEDIENING;102.28;;102.28;1;st;1152;29020098;AXA;;
303171;BOVENRAAMSLUITING AXA REMOTE SKG**  VALRAAM WIT INCL. AFSTANDBEDIENING;139.70;;139.70;1;st;1152;29022098;AXA;;
303172;BOVENRAAMSLUITING AXA REMOTE SKG**  KLEPRAAM GRIJS INCL. AFSTANDBEDIENING;102.28;;102.28;1;st;1152;29020096;AXA;;
303173;BOVENRAAMSLUITING AXA REMOTE SKG**  WIT 2 ST SYNCHROON INCL. AFSTANDBED.;209.55;;209.55;1;st;1152;29025098;AXA;;
303174;BOVENRAAMSLUITING AXA REMOTE SKG**  VALRAAM GRIJS INCL. AFSTANDBEDIENING;139.70;;139.70;1;st;1152;29022096;AXA;;
303176;AFSTANDBEDIENING TBV AXA REMOTE  WIT;14.22;;14.22;1;st;1152;29023298;AXA;;
303177;WANDBEDIENING TBV AXA REMOTE  WIT 3MTR;46.08;;46.08;1;st;1152;29028098;AXA;;
303178;ADAPTER TBV AXA REMOTE  WIT KLEPRAAM MET 5MTR SNOER;20.89;;20.89;1;st;1152;29023198E;AXA;;
303204;RAAMKNIP ARLU 931 EXCL. SLUITSTUK  ALUMINIUM F1 2 SCHROEFGATEN;7.12;;5.34;1;st;1142;00931101;ARGENTA;;
